Teams, Date, Year, Time, Venue, Attendance, Duration
Detroit Pistons at Boston Celtics, December 30, 2011, 7:30PM, TD Garden, 18624, 2:09
Washington Wizards at Boston Celtics, January 2, 2012, 7:30PM, TD Garden, 18624, 2:16
New Jersey Nets at Boston Celtics, January 4, 2012, 7:30PM, TD Garden, 18624, 2:05
Indiana Pacers at Boston Celtics, January 6, 2012, 7:30PM, TD Garden, 18624, 2:10
Dallas Mavericks at Boston Celtics, January 11, 2012, 8:00PM, TD Garden, 18624, 2:31
Chicago Bulls at Boston Celtics, January 13, 2012, 8:00PM, TD Garden, 18624, 2:21
Oklahoma City Thunder at Boston Celtics, January 16, 2012, 8:00PM, TD Garden, 18624, 2:23
Toronto Raptors at Boston Celtics, January 18, 2012, 7:30PM, TD Garden, 18624, 2:14
Phoenix Suns at Boston Celtics, January 20, 2012, 7:30PM, TD Garden, 18624, 2:09
Orlando Magic at Boston Celtics, January 23, 2012, 7:30PM, TD Garden, 18624, 2:22
Indiana Pacers at Boston Celtics, January 27, 2012, 7:30PM, TD Garden, 18624, 2:19
Cleveland Cavaliers at Boston Celtics, January 29, 2012, 6:00PM, TD Garden, 18624, 2:08
Toronto Raptors at Boston Celtics, February 1, 2012, 7:30PM, TD Garden, 18624, 2:02
New York Knicks at Boston Celtics, February 3, 2012, 8:00PM, TD Garden, 18624, 2:44
Memphis Grizzlies at Boston Celtics, February 5, 2012, 12:00PM, TD Garden, 18624, 2:12
Charlotte Bobcats at Boston Celtics, February 7, 2012, 7:30PM, TD Garden, 18624, 2:04
Los Angeles Lakers at Boston Celtics, February 9, 2012, 8:00PM, TD Garden, 18624, 2:40
Chicago Bulls at Boston Celtics, February 12, 2012, 3:30PM, TD Garden, 18624, 2:33
Detroit Pistons at Boston Celtics, February 15, 2012, 7:30PM, TD Garden, 18624, 2:18
Milwaukee Bucks at Boston Celtics, February 29, 2012, 7:30PM, TD Garden, 18624, 2:13
New Jersey Nets at Boston Celtics, March 2, 2012, 7:30PM, TD Garden, 18624, 2:12
New York Knicks at Boston Celtics, March 4, 2012, 1:00PM, TD Garden, 18624, 2:53
Houston Rockets at Boston Celtics, March 6, 2012, 7:30PM, TD Garden, 18624, 2:32
Portland Trail Blazers at Boston Celtics, March 9, 2012, 7:30PM, TD Garden, 18624, 2:06
Washington Wizards at Boston Celtics, March 25, 2012, 6:00PM, TD Garden, 18624, 2:04
Utah Jazz at Boston Celtics, March 28, 2012, 7:30PM, TD Garden, 18624, 2:04
Miami Heat at Boston Celtics, April 1, 2012, 3:30PM, TD Garden, 18624, 2:25
San Antonio Spurs at Boston Celtics, April 4, 2012, 7:30PM, TD Garden, 18624, 1:59
Philadelphia 76ers at Boston Celtics, April 8, 2012, 6:00PM, TD Garden, 18624, 2:05
Atlanta Hawks at Boston Celtics, April 11, 2012, 8:00PM, TD Garden, 18624, 2:34
Orlando Magic at Boston Celtics, April 18, 2012, 8:00PM, TD Garden, 18624, 2:30
Miami Heat at Boston Celtics, April 24, 2012, 8:00PM, TD Garden, 18624, 2:18
Milwaukee Bucks at Boston Celtics, April 26, 2012, 8:00PM, TD Garden, 18624, 1:53
Atlanta Hawks at Boston Celtics, May 4, 2012, 7:30PM, TD Garden, 18624, 2:47
Atlanta Hawks at Boston Celtics, May 6, 2012, 7:00PM, TD Garden, 18624, 2:17
Atlanta Hawks at Boston Celtics, May 10, 2012, 8:00PM, TD Garden, 18624, 2:30
Philadelphia 76ers at Boston Celtics, May 12, 2012, 8:00PM, TD Garden, 18624, 2:24
Philadelphia 76ers at Boston Celtics, May 14, 2012, 7:00PM, TD Garden, 18624, 2:26
Philadelphia 76ers at Boston Celtics, May 21, 2012, 7:00PM, TD Garden, 18624, 2:21
Philadelphia 76ers at Boston Celtics, May 26, 2012, 8:00PM, TD Garden, 18624, 2:30
Miami Heat at Boston Celtics, June 1, 2012, 8:30PM, TD Garden, 18624, 2:39
Miami Heat at Boston Celtics, June 3, 2012, 8:30PM, TD Garden, 18624, 3:01
Miami Heat at Boston Celtics, June 7, 2012, 8:30PM, TD Garden, 18624, 2:27
