precip,snowfall,temp,timestamp,datetime
0,0,33.6,2012-03-09T19:00:00-05:00,2012-03-09 19:00:00-05:00
0,0,32.7,2012-03-09T20:00:00-05:00,2012-03-09 20:00:00-05:00
0,0,34.6,2012-03-09T21:00:00-05:00,2012-03-09 21:00:00-05:00
0.01,0.1,36.6,2012-03-09T22:00:00-05:00,2012-03-09 22:00:00-05:00
0.01,0.1,35.4,2012-03-09T23:00:00-05:00,2012-03-09 23:00:00-05:00
0.01,0,33.7,2012-03-10T00:00:00-05:00,2012-03-10 00:00:00-05:00
0.01,0,32.3,2012-03-10T01:00:00-05:00,2012-03-10 01:00:00-05:00
0,0,32.1,2012-03-10T02:00:00-05:00,2012-03-10 02:00:00-05:00
0,0,31.4,2012-03-10T03:00:00-05:00,2012-03-10 03:00:00-05:00
0.01,0.2,30.6,2012-03-10T04:00:00-05:00,2012-03-10 04:00:00-05:00
0.01,0.2,30,2012-03-10T05:00:00-05:00,2012-03-10 05:00:00-05:00
0.01,0.2,29.7,2012-03-10T06:00:00-05:00,2012-03-10 06:00:00-05:00
0.01,0.1,29.8,2012-03-10T07:00:00-05:00,2012-03-10 07:00:00-05:00
0,0,30.1,2012-03-10T08:00:00-05:00,2012-03-10 08:00:00-05:00
0,0,31.4,2012-03-10T09:00:00-05:00,2012-03-10 09:00:00-05:00
0,0,33.1,2012-03-10T10:00:00-05:00,2012-03-10 10:00:00-05:00
0,0,34.6,2012-03-10T11:00:00-05:00,2012-03-10 11:00:00-05:00
0,0,36,2012-03-10T12:00:00-05:00,2012-03-10 12:00:00-05:00
0,0,36.7,2012-03-10T13:00:00-05:00,2012-03-10 13:00:00-05:00
0,0,37.4,2012-03-10T14:00:00-05:00,2012-03-10 14:00:00-05:00
0,0,37.5,2012-03-10T15:00:00-05:00,2012-03-10 15:00:00-05:00
0,0,37,2012-03-10T16:00:00-05:00,2012-03-10 16:00:00-05:00
0,0,35.3,2012-03-10T17:00:00-05:00,2012-03-10 17:00:00-05:00
0,0,28.9,2012-03-10T18:00:00-05:00,2012-03-10 18:00:00-05:00
0,0,29,2012-03-10T19:00:00-05:00,2012-03-10 19:00:00-05:00
0,0,30.2,2012-03-10T20:00:00-05:00,2012-03-10 20:00:00-05:00
0,0,30.9,2012-03-10T21:00:00-05:00,2012-03-10 21:00:00-05:00
0,0,31.2,2012-03-10T22:00:00-05:00,2012-03-10 22:00:00-05:00
0,0,30.2,2012-03-10T23:00:00-05:00,2012-03-10 23:00:00-05:00
0,0,29.8,2012-03-11T00:00:00-05:00,2012-03-11 00:00:00-05:00
